INFO 2024-11-20 07:08:39,882 basehttp "GET /static/froala_editor/js/plugins/special_characters.min.js HTTP/1.1" 200 29265
INFO 2024-11-20 07:08:39,885 basehttp "GET /static/froala_editor/js/plugins/table.min.js HTTP/1.1" 200 56997
INFO 2024-11-20 07:08:39,907 basehttp "GET /static/froala_editor/js/plugins/video.min.js HTTP/1.1" 200 42358
INFO 2024-11-20 07:08:39,999 basehttp "GET /static/froala_editor/js/plugins/word_paste.min.js HTTP/1.1" 200 23956
INFO 2024-11-20 07:08:40,049 basehttp "GET /static/froala_editor/css/froala-django.css HTTP/1.1" 200 279
INFO 2024-11-20 07:09:10,889 basehttp "POST /article/edit/3 HTTP/1.1" 302 0
INFO 2024-11-20 07:09:11,004 basehttp "GET /article/3 HTTP/1.1" 200 31558
INFO 2024-11-20 07:09:16,786 views This is an info message
WARNING 2024-11-20 07:09:16,787 views This is a warning message
ERROR 2024-11-20 07:09:16,787 views This is an error message
CRITICAL 2024-11-20 07:09:16,787 views This is a critical message
INFO 2024-11-20 07:09:16,788 basehttp "POST /button-action/ HTTP/1.1" 200 61
INFO 2024-11-20 07:09:29,678 basehttp "GET /article/edit/3 HTTP/1.1" 200 34851
INFO 2024-11-20 07:09:29,872 basehttp "GET /static/froala_editor/css/froala_style.min.css HTTP/1.1" 200 8487
INFO 2024-11-20 07:09:29,873 basehttp "GET /static/froala_editor/css/plugins/code_view.min.css HTTP/1.1" 200 1980
INFO 2024-11-20 07:09:29,873 basehttp "GET /static/froala_editor/css/plugins/colors.min.css HTTP/1.1" 200 2122
INFO 2024-11-20 07:09:29,873 basehttp "GET /static/froala_editor/css/froala-django.css HTTP/1.1" 200 279
INFO 2024-11-20 07:09:29,875 basehttp "GET /static/froala_editor/css/plugins/char_counter.min.css HTTP/1.1" 200 948
INFO 2024-11-20 07:09:29,882 basehttp "GET /static/froala_editor/css/froala_editor.min.css HTTP/1.1" 200 42647
INFO 2024-11-20 07:09:29,912 basehttp "GET /static/froala_editor/css/plugins/help.min.css HTTP/1.1" 200 1303
INFO 2024-11-20 07:09:29,913 basehttp "GET /static/froala_editor/css/plugins/file.min.css HTTP/1.1" 200 2558
INFO 2024-11-20 07:09:29,919 basehttp "GET /static/froala_editor/css/plugins/draggable.min.css HTTP/1.1" 200 741
INFO 2024-11-20 07:09:29,921 basehttp "GET /static/froala_editor/css/plugins/emoticons.min.css HTTP/1.1" 200 814
